Treatment ,covercrop, CoverRate
A_Viti(2021), Graminoid,18.93333333
A_Viti(2021), Legume,16.93333333
A_Viti(2021),Baresoil,25.73333333
A_Viti(2021),Other,40.8
A_Viti(2022), Graminoid,0
A_Viti(2022), Legume,39.13333333
A_Viti(2022),Baresoil,34.06666667
A_Viti(2022),Other,26.93333333
D_Viti(2021), Graminoid,22.16666667
D_Viti(2021), Legume,12.22222223
D_Viti(2021),Baresoil,18.49999997
D_Viti(2021),Other,45.94444443
D_Viti(2022), Graminoid,0
D_Viti(2022), Legume,32.16666667
D_Viti(2022),Baresoil,34.16666663
D_Viti(2022),Other,33.7222222
