Treatment ,Variety ,Direction ,Block,Plot,Rep,Year_Stability,Year_CN,Year_Bulk,Year_covercrop,Depth,Bulk_Density ,Stability,TotalOM,TotalN,CN,Cmin,Cmin%,NO3,NH4,Nmin,Nmin%,Humidity ,F_Mechanical actions,DG_soilTx,Stone:soil,Cover_DM_t_ha,Cover_potRestit_N,Cover_mesRestit_N,Cover_mesRestit_C
A_Viti,Artaban,,1,1,1,2019,2021,2020,2021,10,0.962488993,0.47,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.152627505,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,1,2,2019,2021,2020,2021,10,0.962488993,0.46,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.152627505,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,1,3,2019,2021,2020,2021,10,0.962488993,0.54,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.152627505,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,2,1,2019,2021,2020,2021,10,1.001642835,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.19470716,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,2,2,2019,2021,2020,2021,10,1.001642835,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.19470716,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,2,3,2019,2021,2020,2021,10,1.001642835,0.38,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.19470716,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,3,1,2019,2021,2020,2021,10,0.839532681,0.45,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.239975687,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,3,2,2019,2021,2020,2021,10,0.839532681,0.37,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.239975687,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,3,3,2019,2021,2020,2021,10,0.839532681,0.44,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.239975687,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,4,1,2019,2021,2020,2021,10,0.742727616,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.483568585,702828,38120712,247957836,3117927708
A_Viti,Artaban,,1,4,2,2019,2021,2020,2021,10,0.742727616,0.45,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.483568585,702828,38120712,247957836,3117927708
